Date,Close,High,Low,Open,Volume,n-transactions,MKTCP,HRATE,DIFF,AVBLS
6/24/2018,6173.22998,6223.779785,5826.410156,6164.279785,4566909952,158022,1.01E+11,43161057.68,5.08E+12,0.484736936
6/25/2018,6249.180176,6327.370117,6119.680176,6171.970215,5500810240,200173,1.05E+11,39627403.83,5.08E+12,0.920947834
6/26/2018,6093.669922,6290.160156,6093.669922,6253.549805,3279759872,195404,1.07E+11,36850961.53,5.08E+12,1.067591651
6/27/2018,6157.129883,6180,6052.850098,6084.399902,3296219904,188510,1.04E+11,30540865.37,5.08E+12,1.088043074
6/28/2018,5903.439941,6170.410156,5873.049805,6153.160156,3467800064,187624,1.05E+11,39627403.83,5.08E+12,0.689429567
6/29/2018,6218.299805,6261.660156,5835.75,5898.129883,3966230016,197881,1.02E+11,38112980.76,5.08E+12,0.746513298
6/30/2018,6404,6465.509766,6214.220215,6214.220215,4543860224,181065,1.10E+11,35588942.3,5.08E+12,0.987340128
7/1/2018,6385.819824,6432.850098,6289.290039,6411.680176,4788259840,156247,1.09E+11,37103365.37,5.08E+12,0.705291442
7/2/2018,6614.180176,6683.859863,6305.700195,6380.379883,4396930048,199294,1.10E+11,37594816.26,5.17E+12,0.987550149
7/3/2018,6529.589844,6671.370117,6447.75,6596.660156,4672309760,216747,1.13E+11,30929068.69,5.36E+12,1.113817009
7/4/2018,6597.549805,6771.919922,6450.459961,6550.870117,4176689920,206788,1.13E+11,35728406.94,5.36E+12,0.935352985
7/5/2018,6639.140137,6749.540039,6546.649902,6599.709961,4999240192,199600,1.15E+11,36528296.65,5.36E+12,0.783748219
7/6/2018,6673.5,6700.939941,6533.549805,6638.689941,4313959936,200993,1.12E+11,42660784.4,5.36E+12,0.685458581
7/7/2018,6856.930176,6863.990234,6579.240234,6668.709961,3961080064,170160,1.13E+11,41594264.79,5.36E+12,0.537210058
7/8/2018,6773.879883,6885.910156,6747.97998,6857.799805,3386210048,155685,1.13E+11,42127524.6,5.36E+12,0.592209538
7/9/2018,6741.75,6838.680176,6724.339844,6775.080078,3718129920,206546,1.15E+11,36261666.74,5.36E+12,1.060415353
7/10/2018,6329.950195,6767.740234,6320.720215,6739.209961,4052430080,216063,1.15E+11,39727855.48,5.36E+12,0.971490577
7/11/2018,6394.709961,6444.959961,6330.470215,6330.77002,3644859904,202603,1.10E+11,35995036.84,5.36E+12,1.006592259
7/12/2018,6228.810059,6397.100098,6136.419922,6396.779785,3770170112,203535,1.06E+11,37594816.26,5.36E+12,1.179159482
7/13/2018,6238.049805,6310.549805,6192.240234,6235.029785,3805400064,207904,1.06E+11,38128076.06,5.36E+12,1.113532706
7/14/2018,6276.120117,6298.189941,6212.220215,6247.5,2923670016,176475,1.06E+11,35461777.04,5.36E+12,1.159489827
7/15/2018,6359.640137,6403.459961,6256.509766,6272.700195,3285459968,161151,1.09E+11,35461777.04,5.36E+12,0.77394609
7/16/2018,6741.75,6741.75,6357.009766,6357.009766,4725799936,207842,1.09E+11,31995588.3,5.36E+12,0.928807492
7/17/2018,7321.040039,7387.240234,6684.169922,6739.649902,5961950208,233966,1.14E+11,40931868.49,5.20E+12,0.909335535
7/18/2018,7370.779785,7534.990234,7280.470215,7315.319824,6103410176,238769,1.25E+11,44793365.52,5.18E+12,1.046474247
7/19/2018,7466.859863,7494.459961,7295.459961,7378.200195,5111629824,225039,1.26E+11,44021066.11,5.18E+12,0.734628801
7/20/2018,7354.129883,7594.669922,7323.259766,7467.399902,4936869888,225529,1.29E+11,39644702.82,5.18E+12,0.815292727
7/21/2018,7419.290039,7437.640137,7262.410156,7352.720215,3726609920,184803,1.26E+11,35268339.52,5.18E+12,0.715741226
7/22/2018,7418.490234,7537.950195,7383.819824,7417.799805,3695460096,167129,1.27E+11,46852830.6,5.18E+12,0.451292709
7/23/2018,7711.109863,7771.5,7409.100098,7414.709961,5132480000,229480,1.27E+11,42733900.44,5.18E+12,0.890057922
7/24/2018,8424.269531,8424.269531,7705.5,7716.509766,7277689856,259358,1.37E+11,40931868.49,5.18E+12,0.917435553
7/25/2018,8181.390137,8416.870117,8086.359863,8379.660156,5845400064,250208,1.45E+11,45565664.92,5.18E+12,0.965074492
7/26/2018,7951.580078,8290.330078,7878.709961,8176.850098,4899089920,231679,1.37E+11,42476467.3,5.18E+12,0.771370909
7/27/2018,8165.009766,8262.660156,7839.759766,7950.399902,5195879936,229397,1.36E+11,42991333.57,5.18E+12,0.886276054
7/28/2018,8192.150391,8222.849609,8110.77002,8169.060059,3988750080,188238,1.40E+11,37327804.6,5.18E+12,0.759045938
7/29/2018,8218.459961,8272.259766,8141.180176,8205.820313,4107190016,168407,1.41E+11,50277183.1,5.60E+12,0.539320924
7/30/2018,8180.47998,8235.5,7917.5,8221.580078,5551400000,230924,1.42E+11,39630250.21,5.95E+12,0.911087888
7/31/2018,7780.439941,8181.529785,7696.930176,8181.200195,5287530000,242977,1.40E+11,43474975.98,5.95E+12,0.950214048
8/1/2018,7624.910156,7769.040039,7504.950195,7769.040039,4797620000,241044,1.30E+11,44362220.38,5.95E+12,0.990541167
8/2/2018,7567.149902,7712.77002,7523.439941,7634.189941,4214110000,224873,1.30E+11,45249464.79,5.95E+12,0.806938451
8/3/2018,7434.390137,7562.140137,7328.649902,7562.140137,4627150000,229859,1.30E+11,49094190.56,5.95E+12,0.834025711
8/4/2018,7032.850098,7497.490234,6984.069824,7438.669922,4268390000,191657,1.27E+11,52051671.92,5.95E+12,0.574082176
8/5/2018,7068.47998,7102.77002,6940.700195,7031.080078,3679110000,172181,1.20E+11,47319701.74,5.95E+12,0.578105369
8/6/2018,6951.799805,7166.549805,6890.540039,7062.939941,3925900000,218607,1.21E+11,38743005.8,5.95E+12,1.050986702
8/7/2018,6753.120117,7146.560059,6748.240234,6958.319824,4682800000,233045,1.21E+11,44657968.52,5.95E+12,1.016458437
